"Geneid","ORE_male_1","CHD_male_1","ORE_male_2","CHD_male_2 "
"FBgn0031256","42","28","47","6"
"FBgn0031257","194","130","179","22"
"FBgn0027592","115","57","105","15"
"FBgn0003963","149","66","127","20"
"FBgn0031263","6","6","14","2"
"FBgn0031265","56","25","38","2"
"FBgn0031266","295","157","191","40"
"FBgn0031268","70","26","60","4"
"FBgn0023489","158","74","182","17"
"FBgn0010323","19","6","9","1"
"FBgn0013323","3","4","9","0"
"FBgn0031267","29","18","32","2"
"FBgn0021874","44","19","31","6"
"FBgn0031264","46","47","31","13"
"FBgn0005660","292","20","235","3"
"FBgn0031260","212","132","154","23"
"FBgn0010602","148","85","100","27"
"FBgn0043364","789","365","633","131"
"FBgn0031258","544","323","433","76"
"FBgn0015924","406","257","353","74"
"FBgn0031253","7","5","9","2"
"FBgn0031252","1","1","1","0"
"FBgn0031251","43","17","29","6"
"FBgn0031250","14","12","13","5"
"FBgn0051921","32","17","29","2"
"FBgn0031249","29","20","14","2"
"FBgn0031248","31","20","19","3"
"FBgn0067779","214","184","170","24"
"FBgn0031213","249","164","221","27"
"FBgn0031214","65","56","62","14"
"FBgn0031216","669","418","631","71"
"FBgn0031217","53","32","53","8"
"FBgn0001142","855","308","611","100"
"FBgn0031224","53","13","28","1"
"FBgn0031228","138","78","129","20"
"FBgn0031229","75","36","47","11"
"FBgn0031231","34","23","31","2"
"FBgn0031233","146","81","124","18"
"FBgn0031235","41","30","39","5"
"FBgn0031240","41","29","42","4"
"FBgn0003444","90","53","72","0"
"FBgn0031247","18","5","12","3"
"FBgn0024352","594","197","515","41"
"FBgn0020622","252","153","204","32"
"FBgn0017457","94","41","81","15"
"FBgn0025686","15","9","14","4"
"FBgn0031245","236","166","227","50"
"FBgn0031244","52","20","34","9"
"FBgn0031238","74","35","70","9"
"FBgn0031239","544","265","434","64"
"FBgn0031232","17","8","15","4"
"FBgn0031227","17","6","14","3"
"FBgn0051974","77","57","67","16"
"FBgn0051975","0","0","0","0"
"FBgn0051976","0","0","0","0"
"FBgn0031219","4","5","7","2"
"FBgn0026787","112","82","89","19"
"FBgn0002931","36","45","43","14"
"FBgn0051973","462","436","383","71"
"FBgn0031209","1","7","3","0"
"FBgn0002121","478","235","432","56"
"FBgn0036970","5","5","10","1"
"FBgn0036974","701","270","584","49"
