"Geneid","ORE_fem_1 ","CHD_fem_1 ","ORE_fem_2 ","CHD_fem_2 "
"FBgn0031213","188","47","92","35"
"FBgn0031214","59","18","41","12"
"FBgn0031216","398","191","262","76"
"FBgn0031217","31","18","25","12"
"FBgn0001142","783","129","436","96"
"FBgn0031224","21","17","18","4"
"FBgn0031228","102","25","89","18"
"FBgn0031229","50","20","37","16"
"FBgn0031231","19","8","19","7"
"FBgn0031233","95","34","81","21"
"FBgn0031235","19","7","15","8"
"FBgn0031240","19","13","18","5"
"FBgn0003444","48","21","21","6"
"FBgn0031247","13","5","4","2"
"FBgn0024352","461","106","541","60"
"FBgn0020622","147","57","93","34"
"FBgn0017457","65","26","64","9"
"FBgn0025686","15","4","4","2"
"FBgn0031245","179","73","129","55"
"FBgn0031244","21","14","19","9"
"FBgn0031238","48","21","37","18"
"FBgn0031239","310","137","201","61"
"FBgn0031232","7","3","8","2"
"FBgn0031227","25","2","7","2"
"FBgn0051974","96","25","51","15"
"FBgn0051975","0","0","0","0"
"FBgn0051976","0","0","0","0"
"FBgn0031219","2","0","10","1"
"FBgn0026787","53","29","46","14"
"FBgn0002931","31","21","16","10"
"FBgn0051973","248","216","188","120"
"FBgn0031209","4","2","1","0"
"FBgn0002121","407","162","301","72"
"FBgn0036970","3","0","5","2"
"FBgn0036974","495","115","266","79"
"FBgn0036975","317","89","222","57"
"FBgn0024887","21","13","21","5"
"FBgn0036977","1","0","0","1"
"FBgn0001259","5","11","3","6"
"FBgn0036979","5","2","0","1"
"FBgn0036980","359","125","197","93"
"FBgn0036985","18","8","11","4"
"FBgn0036991","58","27","33","8"
"FBgn0036993","132","34","61","21"
"FBgn0036996","3","3","19","0"
"FBgn0036997","189","28","225","29"
"FBgn0036998","10","1","7","2"
"FBgn0036999","29","10","17","5"
"FBgn0037001","513","185","346","110"
"FBgn0052425","235","174","104","109"
"FBgn0037003","18","5","4","3"
"FBgn0037004","9","1","4","2"
"FBgn0037005","14","6","4","2"
"FBgn0037009","21","9","20","5"
"FBgn0037011","41","7","29","5"
"FBgn0037013","7","1","2","1"
"FBgn0001323","61","36","27","15"
"FBgn0037012","44","16","33","9"
"FBgn0037008","26","11","16","5"
"FBgn0037007","460","154","261","91"
"FBgn0037000","16","11","18","9"
"FBgn0052428","70","22","56","17"
"FBgn0036995","39","21","187","25"
"FBgn0036994","29","8","18","11"
"FBgn0036992","194","91","158","60"
"FBgn0036990","20","12","18","8"
"FBgn0029158","63","35","35","21"
"FBgn0036988","33","17","30","13"
"FBgn0036987","22","11","16","9"
"FBgn0036986","57","36","60","26"
"FBgn0036984","133","64","83","33"
"FBgn0028978","197","63","172","33"
"FBgn0027565","64","20","48","9"
"FBgn0001247","296","167","212","86"
"FBgn0036978","2","1","1","1"
"FBgn0036973","19","8","10","4"
"FBgn0037014","8","4","4","0"
"FBgn0037016","71","26","27","12"
"FBgn0040634","4","1","1","1"
"FBgn0016696","865","406","525","235"
"FBgn0037020","62","22","39","19"
"FBgn0037024","84","24","44","17"
"FBgn0037025","18","7","9","4"
"FBgn0037027","207","75","160","37"
"FBgn0037030","0","0","1","1"
"FBgn0040636","29","5","13","0"
"FBgn0037031","50","17","34","8"
"FBgn0040637","2","1","0","0"
"FBgn0037035","9","6","4","2"
"FBgn0011591","122","54","51","31"
"FBgn0052432","1063","509","774","259"
"FBgn0027055","72","25","45","23"
"FBgn0037026","66","35","44","16"
"FBgn0037023","0","0","0","0"
"FBgn0027364","4","2","0","0"
"FBgn0037022","0","0","0","0"
"FBgn0037021","310","141","163","85"
"FBgn0037019","33","14","18","11"
"FBgn0037018","21","4","11","6"
"FBgn0037017","8","12","14","5"
"FBgn0045474","14","4","4","2"
"FBgn0037015","90","39","59","22"
"FBgn0001320","57","18","27","12"
"FBgn0037037","0","0","0","0"
"FBgn0053283","0","0","0","0"
"FBgn0037042","5","1","2","1"
"FBgn0037044","29","18","26","10"
"FBgn0028402","35","12","18","5"
"FBgn0026179","1085","379","559","189"
"FBgn0053284","3","1","3","2"
"FBgn0037050","54","16","30","10"
"FBgn0037057","130","35","114","50"
"FBgn0037060","186","122","122","81"
"FBgn0028427","75","25","57","18"
"FBgn0004865","146","64","85","34"
"FBgn0037061","9","5","12","7"
"FBgn0037059","0","1","2","0"
"FBgn0053056","105","40","95","25"
"FBgn0053054","10","2","9","2"
"FBgn0041100","10","8","5","0"
"FBgn0024150","128","47","102","31"
"FBgn0037051","193","61","109","47"
"FBgn0020294","137","74","97","34"
"FBgn0053285","2","1","2","1"
"FBgn0037045","25","13","11","4"
"FBgn0003415","1355","669","801","373"
"FBgn0053286","0","0","0","0"
"FBgn0053287","0","0","0","0"
"FBgn0037040","0","0","1","0"
"FBgn0037039","0","0","0","0"
"FBgn0037038","0","1","1","0"
"FBgn0037036","1","0","0","0"
"FBgn0037068","1","1","1","1"
"FBgn0037069","5","2","3","1"
"FBgn0037071","46","8","17","12"
"FBgn0037073","88","38","55","12"
"FBgn0052436","1","1","1","0"
"FBgn0052437","0","1","0","0"
"FBgn0052440","0","0","1","0"
"FBgn0053288","23","9","22","8"
"FBgn0005694","240","96","135","53"
"FBgn0037087","20","5","13","6"
"FBgn0037090","126","50","107","32"
"FBgn0037092","62","24","46","14"
"FBgn0037093","216","106","143","83"
"FBgn0037094","305","167","200","104"
"FBgn0053289","1","0","1","0"
"FBgn0015283","96","27","72","33"
"FBgn0028663","80","37","47","13"
"FBgn0053290","1","0","2","0"
"FBgn0037101","1","0","2","0"
"FBgn0052438","67","18","29","11"
"FBgn0052441","90","24","61","14"
"FBgn0037102","26","6","12","3"
"FBgn0037099","9","0","6","0"
"FBgn0037098","973","488","488","237"
"FBgn0029152","155","53","114","37"
"FBgn0026371","26","9","14","6"
"FBgn0015239","110","58","82","36"
"FBgn0037086","0","0","4","0"
"FBgn0037085","3","1","3","0"
"FBgn0014143","14","5","5","0"
"FBgn0037082","19","11","14","9"
"FBgn0037081","96","58","78","30"
"FBgn0002842","13","6","7","2"
"FBgn0037078","0","0","0","0"
"FBgn0037076","9","3","7","3"
"FBgn0037074","471","210","368","133"
"FBgn0003042","108","47","63","24"
"FBgn0037070","5","1","2","0"
"FBgn0037067","1","2","0","1"
"FBgn0037065","0","1","1","0"
"FBgn0027945","143","54","70","42"
"FBgn0037064","31","3","15","5"
"FBgn0037063","161","60","98","38"
"FBgn0037106","30","13","13","2"
"FBgn0037108","110","42","91","27"
"FBgn0037110","29","10","18","4"
"FBgn0043783","33","34","62","47"
"FBgn0052445","1","0","0","0"
"FBgn0052446","64","12","38","19"
"FBgn0037115","0","0","0","0"
"FBgn0037117","63","27","61","25"
"FBgn0037121","15","3","12","4"
"FBgn0037125","2","0","0","0"
"FBgn0037128","0","0","0","3"
"FBgn0037131","27","10","8","8"
"FBgn0037133","0","0","0","1"
"FBgn0000560","3","0","2","1"
"FBgn0022936","14","8","11","5"
"FBgn0037134","19","10","12","5"
"FBgn0037135","1004","421","615","247"
"FBgn0037139","1","0","0","0"
"FBgn0037138","643","345","443","198"
"FBgn0046301","43","21","44","9"
"FBgn0052448","5","2","3","0"
"FBgn0037130","173","58","142","58"
"FBgn0037129","0","1","1","2"
"FBgn0037127","1","1","0","0"
"FBgn0037126","54","20","28","11"
"FBgn0037124","0","1","0","0"
"FBgn0037123","1","0","2","1"
"FBgn0037122","2","1","3","0"
"FBgn0037120","170","57","101","36"
"FBgn0052447","3","4","5","1"
"FBgn0037116","174","95","110","46"
"FBgn0037114","0","0","0","1"
"FBgn0037109","278","126","228","87"
"FBgn0037107","210","64","133","52"
"FBgn0037105","31","19","36","8"
"FBgn0037140","57","15","21","13"
"FBgn0037142","230","81","131","65"
"FBgn0037143","0","0","0","0"
"FBgn0037144","22","7","3","5"
"FBgn0029091","6","6","3","1"
"FBgn0037146","1787","868","1643","561"
"FBgn0000045","91","14","53","4"
"FBgn0004514","72","39","27","15"
"FBgn0037149","6","6","11","2"
"FBgn0000100","3613","1016","2439","629"
"FBgn0004414","0","0","0","0"
"FBgn0037151","15","6","15","1"
