Geneid,ORE_male_1,CHD_male_1,ORE_male_2,CHD_male_2 ,ORE_fem_1 ,CHD_fem_1 ,ORE_fem_2 ,CHD_fem_2 
FBgn0029798,52,35,48,0,20,13,18,3
FBgn0029799,117,27,89,3,63,15,26,4
FBgn0029801,329,119,255,20,195,76,100,40
FBgn0029809,5,1,3,0,2,0,0,1
FBgn0029810,840,420,701,112,444,130,256,86
FBgn0029811,0,0,0,0,1,0,0,0
FBgn0029812,0,0,1,0,0,1,0,0
FBgn0029814,992,571,808,162,562,274,322,131
FBgn0052761,2,0,1,0,3,2,0,0
FBgn0029816,0,0,0,0,0,1,0,0
FBgn0029817,1,0,1,0,0,0,1,0
FBgn0029820,289,165,251,38,202,69,264,47
FBgn0029821,13,4,13,0,24,4,21,5
FBgn0029822,268,135,200,38,183,79,136,46
FBgn0029823,1196,484,885,75,699,152,1094,185
FBgn0029819,243,135,176,42,152,76,111,33
FBgn0014340,99,48,100,25,68,20,69,11
FBgn0029818,150,74,95,20,87,39,42,26
FBgn0029813,5,0,3,0,4,0,3,0
FBgn0029807,20,8,16,2,11,7,16,3
FBgn0029804,188,86,146,37,117,47,72,21
FBgn0013987,300,161,305,39,233,90,178,48
FBgn0029800,62,20,52,10,57,9,31,8
FBgn0261383,502,329,381,70,303,169,237,107
FBgn0052758,847,402,767,110,511,204,317,123
FBgn0053080,400,356,311,112,221,167,178,114
FBgn0027564,102,82,87,11,45,34,32,28
FBgn0029789,246,105,179,19,121,40,91,26
FBgn0046687,82,28,79,5,60,9,39,14
FBgn0015794,90,54,63,12,49,16,43,20
FBgn0029783,10,5,4,2,9,2,5,2
FBgn0029824,185,120,154,22,123,61,90,35
FBgn0029825,46,17,39,3,30,10,18,8
FBgn0052756,92,34,67,4,44,12,30,3
FBgn0029826,32,12,27,0,18,2,14,5
FBgn0052755,11,2,15,1,7,1,5,0
FBgn0029827,0,0,0,0,1,0,0,0
FBgn0029828,191,140,165,27,171,61,87,48
FBgn0029830,120,42,85,20,53,11,68,8
FBgn0029831,2101,635,1690,189,2112,339,1987,138
FBgn0029833,65,31,73,13,52,28,33,18
FBgn0029834,1256,650,1051,152,597,292,378,210
FBgn0029835,109,44,68,7,47,30,39,17
FBgn0029843,281,163,234,36,133,60,82,38
FBgn0029849,152,82,128,16,65,22,43,22
FBgn0003514,323,212,285,72,223,96,150,76
FBgn0029848,1,3,0,0,0,0,0,1
FBgn0040069,0,0,1,0,0,0,0,0
FBgn0052751,0,0,0,0,0,0,0,0
FBgn0052750,1,2,3,0,3,1,2,0
FBgn0026060,12,10,5,3,9,2,4,2
FBgn0029840,769,349,568,78,446,219,319,115
FBgn0029839,134,66,124,10,95,34,62,26
FBgn0029838,17,10,21,3,19,10,25,7
FBgn0029837,148,62,113,7,63,26,35,16
FBgn0003302,49,22,38,8,25,10,21,6
FBgn0029003,86,37,83,5,59,46,46,17
FBgn0027546,87,44,74,12,41,12,28,11
FBgn0005390,10,10,9,4,13,2,5,0
FBgn0029851,51,57,40,12,12,27,21,17
FBgn0015818,67,26,50,8,34,13,16,13
FBgn0029853,31,8,31,4,22,11,19,3
FBgn0028982,870,430,647,112,519,218,328,135
FBgn0029857,76,33,50,4,35,17,23,7
FBgn0029858,26,17,18,4,12,8,17,4
FBgn0029861,154,70,122,15,79,35,51,23
FBgn0029863,25,8,33,0,49,13,35,7
FBgn0029864,940,459,657,92,442,310,254,160
FBgn0029866,174,71,142,17,116,45,67,16
FBgn0029867,151,61,113,10,105,38,54,18
FBgn0052748,0,0,0,0,0,0,0,0
FBgn0029873,76,39,54,11,52,21,19,8
FBgn0014031,278,177,179,26,313,130,250,123
FBgn0000524,94,43,81,12,50,37,31,16
FBgn0014026,3731,1569,2961,379,3281,1103,2404,786
FBgn0029874,35,23,28,6,24,17,23,11
FBgn0003139,102,66,92,12,66,40,49,23
FBgn0003655,2,6,3,0,1,1,1,0
FBgn0016974,6,1,4,1,5,0,0,1
FBgn0029868,287,153,239,49,238,91,131,44
FBgn0043796,114,59,61,16,61,28,52,18
FBgn0028685,213,109,169,30,152,59,122,57
FBgn0026015,214,134,173,27,155,63,93,49
FBgn0029856,16,6,4,3,5,3,2,2
FBgn0052745,5,6,8,3,2,5,1,1
FBgn0000442,5,3,3,0,1,1,1,1
FBgn0026438,2690,1454,2134,360,1583,541,1018,372
FBgn0040106,0,1,0,0,0,0,0,0
FBgn0004611,1964,1089,1459,230,1125,451,658,240
FBgn0053127,27,23,22,2,13,8,16,4
FBgn0000061,1,2,2,0,0,1,2,1
FBgn0003278,32,21,27,6,23,6,12,8
FBgn0002593,1854,891,1568,199,2513,811,1894,480
FBgn0031254,0,2,0,0,3,1,2,0
FBgn0031255,10,5,8,1,6,1,8,1
FBgn0004583,322,107,279,29,195,87,100,45
FBgn0031256,42,28,47,6,27,11,25,11
FBgn0031257,194,130,179,22,114,47,77,17
FBgn0027592,115,57,105,15,80,33,56,12
FBgn0003963,149,66,127,20,97,43,36,23
FBgn0031263,6,6,14,2,8,1,2,2
FBgn0031265,56,25,38,2,30,18,14,9
FBgn0031266,295,157,191,40,161,71,90,55
FBgn0031268,70,26,60,4,40,10,21,8
FBgn0023489,158,74,182,17,105,47,71,22
FBgn0010323,19,6,9,1,5,2,3,1
