,Chd1_Ctrl1,Chd1_Auxin1,Chd1_Ctrl2,Chd1_Auxin2
FBgn0028360,785.744922973694,1170.62029733636,739.265199662234,1111.61544666658
FBgn0062413,995.635690069407,1402.97218141658,909.405642653139,1318.34021274152
FBgn0025815,339.05431607769,496.209108374706,311.426658807913,394.656371597604
FBgn0029895,1591.94074120287,1220.83193330285,1507.38462649836,1111.61544666658
FBgn0029898,29.0617985209448,44.3043846763131,16.914546964008,35.707005049307
FBgn0029502,189.439871840233,293.393480745362,215.909217128809,282.837066311616
FBgn0029903,1034.384754764,1381.31226001927,973.083937105875,1254.44346686381
FBgn0029906,182.981694391134,202.815627629344,182.080123200793,216.121346351069
FBgn0029907,36.5963388782268,49.2270940847923,29.8492005247201,39.4656371597604
FBgn0029909,57.0472341337065,91.5623949977137,61.6883477510882,66.7157199605473
FBgn0029905,597.381414041644,829.968806269598,665.637171701258,814.683509940767
FBgn0003390,792.203100422793,1018.0163056735,757.174719977066,1106.91715652852
FBgn0052740,395.025187303213,307.177067089104,676.581878560322,298.811252781043
FBgn0029897,872.930318536528,945.160206428012,795.978680659202,901.132048481195
FBgn0029896,1504.75534564003,2817.75886541351,1450.6711455014,2513.58522386569
FBgn0029894,480.057857049682,587.77150337242,463.657581483985,600.441479644925
FBgn0029893,595.228688225278,855.56689519369,599.968930546874,898.313074398355
FBgn0029892,188.36350893205,339.666949185067,206.954456971393,287.535356449683
FBgn0029887,472.5233166924,666.534853908088,501.466568815297,678.433095936833
FBgn0029885,240.028928524841,372.15683128103,238.793604197761,362.70799865875
FBgn0029882,499.432389396978,675.39573084335,433.808380959265,633.329510611392
FBgn0029912,406.865179293228,578.910626437157,476.592235044697,594.803531479245
FBgn0029914,220.654396177544,396.770378323426,234.813710794465,369.285604852043
FBgn0029920,1.07636290818314,0.984541881695846,1.98994670164801,1.87931605522668
FBgn0052733,2.15272581636629,1.96908376339169,0.994973350824003,2.81897408284003
FBgn0029922,212.043492912079,253.027263595832,226.853923987873,275.319802090709
FBgn0029924,193.745323472966,333.759697894892,165.165576236784,319.483729388536
FBgn0027108,2464.8710597394,3128.8741000294,2331.22256098064,3080.19901451653
FBgn0029929,238.952565616658,343.60511671185,253.718204460121,362.70799865875
